Country,Happiness Rank,Happiness Score,Standard error of happiness score,Lower Confidence Interval,Upper Confidence Interval,Economy (Log GDP per capita),Family,Health (life expectancy),Freedom,Generosity,Trust (Government Corruption),,,
Finland,1,7.804,0.036,7.875,7.733,1.888,1.585,0.535,0.772,0.126,0.535,,,
Denmark,2,7.586,0.041,7.667,7.506,1.949,1.548,0.537,0.734,0.208,0.525,,,
Iceland,3,7.530,0.049,7.625,7.434,1.926,1.620,0.559,0.738,0.250,0.187,,,
Israel,4,7.473,0.032,7.535,7.411,1.833,1.521,0.577,0.569,0.124,0.158,,,
Netherlands,5,7.403,0.029,7.460,7.346,1.942,1.488,0.545,0.672,0.251,0.394,,,
Sweden,6,7.395,0.037,7.468,7.322,1.921,1.510,0.562,0.754,0.225,0.520,,,
Norway,7,7.315,0.044,7.402,7.229,1.994,1.521,0.544,0.752,0.212,0.463,,,
Switzerland,8,7.240,0.043,7.324,7.156,2.022,1.463,0.582,0.678,0.151,0.475,,,
Luxembourg,9,7.228,0.069,7.363,7.093,2.200,1.357,0.549,0.710,0.149,0.418,,,
New Zealand,10,7.123,0.038,7.198,7.048,1.842,1.544,0.513,0.672,0.230,0.471,,,
Austria,11,7.097,0.040,7.176,7.018,1.927,1.382,0.535,0.630,0.191,0.310,,,
Australia,12,7.095,0.044,7.180,7.009,1.899,1.497,0.532,0.677,0.242,0.310,,,
Canada,13,6.961,0.042,7.042,6.879,1.881,1.484,0.541,0.656,0.218,0.364,,,
Ireland,14,6.911,0.044,6.996,6.825,2.152,1.425,0.539,0.656,0.186,0.409,,,
United States,15,6.894,0.047,6.986,6.802,1.980,1.460,0.390,0.557,0.210,0.172,,,
Germany,16,6.892,0.049,6.989,6.795,1.919,1.401,0.539,0.618,0.153,0.365,,,
Belgium,17,6.859,0.034,6.926,6.793,1.907,1.449,0.528,0.590,0.137,0.273,,,
Czechia,18,6.845,0.044,6.931,6.759,1.823,1.544,0.477,0.693,0.158,0.050,,,
United Kingdom,19,6.796,0.042,6.877,6.714,1.857,1.366,0.511,0.626,0.272,0.340,,,
