Year,Extraversion,Number of textees,Hours of sleep,Handedness,Sleep position,Pets,TV,Piercings
Second Year,7,5,7,Right-handed,On your back,a little brother,Black Mirror,3
Second Year,3,6,7,Right-handed,On your right side,Bird,None,0
Second Year,3,8,6,Right-handed,On your right side,Bird,The Bear,0
First Year,4,4,7,Right-handed,On your left side,Bird,Gilmore Girls,1
Second Year,3,3,7,Right-handed,On your stomach,Bird,None,2
Second Year,4,4,7,Right-handed,On your right side,Bird,The Bear,2
Second Year,7,5,7,Right-handed,On your right side,Cat,Ahsoka,0
Third Year,4,6,6,Right-handed,On your right side,Cat,"Ahsoka, The Mandalorian, One Piece",0
Third Year,4,3,6,Right-handed,On your back,Cat,Attack on Titan,0
Second Year,5,4,7.5,Right-handed,On your stomach,Cat,Better Call Saul,0
Second Year,7,10,7.5,Right-handed,On your back,Cat,Black Mirror,0
Third Year,7,10,7,Right-handed,On your left side,Cat,Black Mirror,0
First Year,7,6,7,Right-handed,On your right side,Cat,Black Mirror,0
Third Year,4,7,8,Right-handed,On your right side,Cat,"Black Mirror, Hunter x Hunter",0
Second Year,5,5,7,Right-handed,On your right side,Cat,"Black Mirror, The Bear",0
First Year,3,7,8,Right-handed,On your left side,Cat,Euphoria,0
First Year,7,5,8,Right-handed,On your right side,Cat,Game of Thrones,0
Third Year,5,2,8,Right-handed,On your right side,Cat,House MD,0
Third Year,9,10,6,Right-handed,On your back,Cat,How I Met Your Mother,0
Second Year,5,2,6,Right-handed,On your back,Cat,How to Get Away With Murder,0
Second Year,5,4,7,Left-handed,On your back,Cat,None,0
Fourth Year,8,4,5,Right-handed,On your back,Cat,None,0
Third Year,3,3,7,Right-handed,On your back,Cat,None,0
Second Year,9,10,7,Right-handed,On your back,Cat,None,0
Third Year,7,4,7,Right-handed,On your left side,Cat,None,0
Second Year,6,5,7,Right-handed,On your left side,Cat,None,0
Third Year,4,5,8,Right-handed,On your left side,Cat,None,0
First Year,3,5,6,Right-handed,On your right side,Cat,None,0
First Year,3,8,8,Right-handed,On your right side,Cat,None,0
Second Year,7,10,8,Right-handed,On your right side,Cat,None,0
First Year,2,4,7,Right-handed,On your stomach,Cat,None,0
Second Year,8,5,8,Right-handed,On your stomach,Cat,None,0
Fourth Year,3,3,10,Right-handed,On your stomach,Cat,None,0
Third Year,3,4,6,Right-handed,On your back,Cat,One Piece,0
Second Year,5,20,7,Right-handed,On your back,Cat,One Piece,0
First Year,4,6,8,Right-handed,On your back,Cat,One Piece,0
Second Year,4,3,7,Right-handed,On your stomach,Cat,One Piece,0
First Year,4,6,7,Right-handed,On your right side,Cat,"One Piece, Ted Lasso",0
Third Year,6,6,8,Right-handed,On your right side,Cat,"One Piece, Ted Lasso, The Bear, Game of thrones",0
First Year,7,3,7,Right-handed,On your right side,Cat,Succession,0
First Year,7,10,8,Right-handed,On your stomach,Cat,"Succession, Gilmore Girls",0
First Year,6,10,6,Right-handed,On your back,Cat,Ted Lasso,0
Fourth Year,4,3,7,Right-handed,On your back,Cat,Ted Lasso,0
First Year,5,4,8,Right-handed,On your left side,Cat,Ted Lasso,0
Second Year,8,6,6,Right-handed,On your left side,Cat,The Bear,0
Third Year,5,4,7,Right-handed,On your left side,Cat,"The Last of Us, Ahsoka, The Mandalorian, One Piece",0
First Year,4,12,7,Right-handed,On your right side,Cat,"The Last of Us, One Piece, Ted Lasso",0
First Year,7,10,7,Right-handed,On your right side,Cat,"The Last of Us, Succession, Black Mirror, Ted Lasso",0
First Year,8,2,6,Right-handed,On your stomach,Cat,"The Last of Us, The Mandalorian",0
First Year,4,2,5,Right-handed,On your back,Cat,The Mandalorian,0
First Year,9,5,7,Right-handed,On your left side,Cat,The Mandalorian,0
First Year,7,5,8,Right-handed,On your right side,Cat,Young Sheldon ,0
First Year,7,10,6,Left-handed,On your left side,Cat,Gilmore Girls,1
Fourth Year,5,5,6,Right-handed,On your right side,Cat,Gilmore Girls,1
Second Year,5,3,4,Right-handed,On your right side,Cat,None,1
Fourth Year,9,15,7,Right-handed,On your right side,Cat,None,1
First Year,5,3,7,Right-handed,On your stomach,Cat,"Ahsoka, Gilmore Girls",2
Third Year,5,3,8,Right-handed,On your left side,Cat,"Ahsoka, The Mandalorian, Gilmore Girls",2
First Year,6,3,7,Right-handed,On your back,Cat,Atlanta,2
Second Year,8,10,8.5,ambidextrous,On your back,Cat,Black Mirror,2
Second Year,3,3,7,Right-handed,On your left side,Cat,Black Mirror,2
First Year,6,5,5,Right-handed,On your left side,Cat,Gilmore Girls,2
Second Year,9,20,7,Right-handed,On your right side,Cat,Gilmore Girls,2
Fourth Year,6,4,6,Right-handed,On your stomach,Cat,Gilmore Girls,2
Second Year,4,10,9,Right-handed,On your right side,Cat,Merlin,2
First Year,4,10,7,Right-handed,On your left side,Cat,None,2
Second Year,5,4,8,Right-handed,On your right side,Cat,None,2
First Year,8,5,8,Right-handed,On your right side,Cat,None,2
Third Year,3,5,8,Right-handed,On your stomach,Cat,None,2
First Year,3,2,5,Right-handed,On your back,Cat,One Piece,2
Third Year,6,6,8,Right-handed,On your left side,Cat,One Piece,2
Third Year,4,2,8,Right-handed,On your right side,Cat,One Piece,2
Fourth Year,7,2,9,Right-handed,On your left side,Cat,Squid Game,2
Fourth Year,3,4,8,Right-handed,On your right side,Cat,"Succession, Black Mirror",2
Third Year,7,8,7,Right-handed,On your right side,Cat,Ted Lasso,2
First Year,6,9,8,Right-handed,On your left side,Cat,The Bear,2
First Year,4,2,7,Right-handed,On your stomach,Cat,The Bear,2
First Year,7,7,8,Right-handed,On your right side,Cat,"The Fall of the House of Usher, Gilmore Girls",2
First Year,7,5,8,Left-handed,On your left side,Cat,The Last of Us,2
First Year,3,4,8,Right-handed,On your left side,Cat,The Last of Us,2
First Year,3,8,7,Right-handed,On your left side,Cat,"The Last of Us, The Mandalorian, Ted Lasso",2
Second Year,8,5,8,Right-handed,On your right side,Cat,Black Mirror,3
Third Year,5,2,6,Right-handed,On your left side,Cat,"Black Mirror, One Piece",3
First Year,8,8,7,Right-handed,On your back,Cat,"Black Mirror, One Piece, Gilmore Girls",3
First Year,8,5,6,Right-handed,On your back,Cat,Gilmore Girls,3
Second Year,3,2,7,Right-handed,On your left side,Cat,Gilmore Girls,3
Second Year,5,5,8,Right-handed,On your right side,Cat,"The Last of Us, None",3
Second Year,7,20,6,Right-handed,On your right side,Cat,Black Mirror,4
First Year,8,10,6.5,Right-handed,On your stomach,Cat,Black Mirror,4
First Year,8,15,7,Right-handed,On your left side,Cat,"Black Mirror, Gilmore Girls",4
Third Year,1,1,6,Right-handed,On your left side,Cat,None,4
Second Year,6,3,9,Right-handed,On your left side,Cat,None,4
Second Year,3,3,7,Right-handed,On your left side,Cat,One Piece,4
Second Year,9,10,8,Right-handed,On your right side,Cat,"Succession, Gilmore Girls",4
Third Year,6,10,8,Right-handed,On your right side,Cat,"The Last of Us, Ted Lasso, The Bear",4
Third Year,4,3,7,Right-handed,On your left side,Cat,The Mandalorian,4
Third Year,4,4,7,Right-handed,On your stomach,Cat,"The Mandalorian, The Fall of the House of Usher",4
Second Year,7,5,7,Right-handed,On your stomach,Cat,Gilmore Girls,5
Second Year,2,5,7,Right-handed,On your back,Cat,"Ted Lasso, Gilmore Girls",5
Third Year,3,3,7,Right-handed,On your left side,Cat,Ted Lasso,6
First Year,3,2,7,Right-handed,On your stomach,Cat,"Ahsoka, The Mandalorian",7
First Year,8,5,7,Right-handed,On your right side,Cat,Bones,7
First Year,5,10,7,Right-handed,On your left side,Cat,"Ted Lasso, Gilmore Girls",7
Third Year,4,3,7,Right-handed,On your left side,Cat,The Bear,7
Third Year,4,20,4,Right-handed,On your left side,Cat,Black Mirror,8
First Year,8,15,7,Right-handed,On your left side,Cat,The Office,8
Second Year,8,4,6,Right-handed,On your stomach,Cat,"Succession, Black Mirror",15
First Year,8,58,4,Left-handed,On your left side,Cat,The Last of Us,49
First Year,5,2,8,Right-handed,On your left side,"Cat, Bird",Money Heist (aka Casa de Papel),2
